site,plot,host,gbh,biomass,phenologypar1,phenologypar2,phenologypar3,clump
"aranya","plot1","Dodonaea angustifolia","16.76","2","1","1","1","1"
"aranya","plot1","Acacia auriculiformis","49.00","2","1","1","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","1","1","1","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","1","1","1","1","2"
"aranya","plot1","Acacia auriculiformis","49.00","1","0","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","1","0","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","2","0","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","3","0","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","3","0","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","2","0","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","3","0","0","0","1"
"aranya","plot1","Acacia auriculiformis","49.00","3","0","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","3","0","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","2","1","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","2","1","1","0","1"
"aranya","plot1","Acacia auriculiformis","49.00","1","1","0","0","2"
"aranya","plot1","Acacia auriculiformis","49.00","1","1","0","0","2"
"aranya","plot1","Hardwickia binata","36.00","4","1","0","0","1"
"aranya","plot1","Hardwickia binata","36.00","4","1","0","0","2"
"aranya","plot1","Hardwickia binata","36.00","4","1","0","0","1"
"aranya","plot1","Acacia auriculiformis","20.00","3","1","0","0","1"
"aranya","plot1","Morinda coreia","26.91","4","1","0","0","1"
"aranya","plot1","Morinda coreia","26.91","1","1","0","0","2"
"aranya","plot2","Casuarina equisetifolia","40.00","3","1","0","0","2"
"aranya","plot2","Casuarina equisetifolia","40.00","2","1","0","0","1"
"aranya","plot2","Casuarina equisetifolia","40.00","3","1","0","0","2"
"aranya","plot2","Casuarina equisetifolia","81.00","2","1","0","0","1"
"aranya","plot2","Casuarina equisetifolia","46.00","4","1","1","0","1"
"aranya","plot2","Casuarina equisetifolia","46.00","2","1","1","0","2"
"aranya","plot2","Casuarina equisetifolia","46.00","4","1","1","0","1"
"aranya","plot2","Casuarina equisetifolia","46.00","1","1","0","0","1"
"aranya","plot2","Dodonaea angustifolia","7.00","2","1","1","0","1"
"aranya","plot2","Acacia mangium","17.00","2","1","0","0","2"
"aranya","plot3","Bridelia retusa","30.81","2","1","1","0","1"
"aranya","plot3","Bridelia retusa","30.81","1","1","0","0","2"
"aranya","plot3","Casuarina equisetifolia","39.00","4","1","1","0","1"
"aranya","plot3","Casuarina equisetifolia","39.00","4","1","1","0","1"
"aranya","plot3","Casuarina equisetifolia","39.00","1","1","0","0","1"
"aranya","plot3","Casuarina equisetifolia","39.00","1","1","0","0","1"
"aranya","plot3","Casuarina equisetifolia","40.00","1","1","0","0","1"
"aranya","plot4","Ficus benghalensis","105.00","4","1","1","0","1"
"aranya","plot4","Ficus benghalensis","105.00","4","1","1","0","1"
"aranya","plot4","Ficus benghalensis","105.00","3","1","1","0","1"
"aranya","plot4","Ficus benghalensis","105.00","4","1","1","0","1"
"aranya","plot4","Bridelia retusa","9.22","1","1","1","0","1"
"aranya","plot4","Morinda coreia","30.00","3","0","0","0","1"
"aranya","plot4","Bridelia retusa","13.00","1","1","0","0","1"
"aranya","plot4","Acacia holosericea","8.77","1","1","0","0","2"
"aranya","plot4","Acacia holosericea","8.77","1","1","0","0","2"
"aranya","plot5","Acacia mangium","14.18","3","1","0","0","1"
"aranya","plot5","Acacia mangium","10.63","1","1","1","0","1"
"aranya","plot5","Acacia mangium","10.63","0","0","0","0","0"
"aranya","plot5","Acacia mangium","21.00","1","1","0","0","2"
"aranya","plot5","Acacia mangium","21.00","3","1","1","0","2"
"aranya","plot5","Acacia mangium","21.00","4","1","1","0","2"
"aranya","plot5","Acacia chundra","15.00","3","1","1","1","1"
"aranya","plot5","Acacia chundra","24.50","2","1","1","0","1"
"aranya","plot5","Acacia chundra","24.50","2","1","1","0","1"
"aranya","plot5","Acacia chundra","24.50","4","1","1","0","1"
"aranya","plot5","Acacia holosericea","24.70","2","1","0","0","1"
"aranya","plot6","Acacia chundra","32.00","1","1","0","0","1"
"aranya","plot6","Acacia chundra","37.00","3","1","1","0","2"
"aranya","plot6","Acacia chundra","37.00","3","1","1","0","2"
"aranya","plot6","Acacia chundra","37.00","1","1","1","0","1"
"aranya","plot6","Acacia holosericea","5.00","1","1","1","1","2"
"aranya","plot6","Acacia holosericea","11.00","1","0","0","0","2"
"aranya","plot6","Acacia holosericea","11.00","1","0","0","0","1"
"aranya","plot6","Acacia holosericea","11.00","1","0","0","0","1"
"aranya","plot6","Acacia chundra","22.00","3","1","1","0","1"
"aranya","plot6","Acacia chundra","25.00","1","1","1","0","1"
"aranya","plot6","Acacia chundra","22.00","1","1","0","0","2"
"aranya","plot6","Acacia chundra","22.00","4","1","1","1","1"
"aranya","plot6","Acacia chundra","37.00","4","1","1","0","1"
"aranya","plot6","Acacia chundra","37.00","3","1","1","0","1"
"aranya","plot6","Acacia chundra","37.00","3","1","1","0","1"
"aranya","plot6","Acacia chundra","37.00","1","1","0","0","1"
"aranya","plot6","Acacia chundra","37.00","1","1","0","0","1"
"aranya","plot6","Acacia chundra","37.00","1","1","0","0","2"
"aranya","plot6","Acacia chundra","38.00","3","0","0","0","2"
"aranya","plot6","Acacia chundra","38.00","4","0","0","0","2"
"aranya","plot6","Acacia chundra","38.00","3","1","1","0","1"
"aranya","plot6","Acacia chundra","38.00","4","1","1","1","1"
"aranya","plot6","Acacia chundra","38.00","1","1","1","0","1"
"aranya","plot6","Acacia chundra","38.00","1","1","1","0","1"
"aranya","plot6","Acacia chundra","19.00","3","1","1","1","0"
"aranya","plot6","Albizia lebbeck","28.50","4","1","1","1","1"
"aranya","plot6","Albizia lebbeck","28.50","3","1","1","1","1"
"aranya","plot6","Albizia lebbeck","28.50","2","1","1","1","1"
"aranya","plot6","Albizia lebbeck","28.50","2","1","1","1","1"
"aranya","plot6","Acacia chundra","41.00","4","1","1","1","1"
"aranya","plot6","Acacia chundra","41.00","4","1","1","1","1"
"aranya","plot6","Acacia chundra","41.00","3","1","1","0","1"
"aranya","plot6","Acacia chundra","46.00","4","1","1","0","1"
"aranya","plot6","Acacia chundra","46.00","3","1","1","0","1"
"aranya","plot6","Acacia chundra","46.00","1","1","0","0","1"
"aranya","plot6","Acacia chundra","39.00","4","1","1","1","1"
"aranya","plot6","Acacia auriculiformis","19.00","3","1","1","0","2"
"aranya","plot6","Acacia auriculiformis","19.00","3","1","1","0","2"
"aranya","plot6","Acacia holosericea","9.00","3","1","1","1","2"
"aranya","plot6","Acacia holosericea","10.00","2","1","1","0","1"
"aranya","plot6","Peltophorum pterocarpum","31.54","4","1","1","0","1"
"aranya","plot7","Acacia mangium","21.63","4","1","1","1","2"
"aranya","plot7","Acacia mangium","21.63","1","1","0","0","2"
"aranya","plot7","Acacia mangium","21.63","2","1","1","0","2"
"aranya","plot7","Acacia mangium","21.63","1","1","0","0","2"
"aranya","plot7","Acacia mangium","21.63","1","1","0","0","2"
"aranya","plot7","Acacia mangium","21.63","1","1","0","0","2"
"aranya","plot7","Acacia mangium","21.63","2","1","0","0","2"
"aranya","plot7","Acacia mangium","21.63","3","1","0","0","2"
"aranya","plot7","Acacia mangium","21.63","2","1","0","0","2"
"aranya","plot7","Acacia mangium","21.63","1","1","1","0","2"
"aranya","plot7","Acacia mangium","21.63","1","1","0","0","2"
"aranya","plot7","Acacia mangium","21.63","2","1","1","0","2"
"aranya","plot7","Acacia holosericea","10.31","4","1","1","1","1"
"aranya","plot7","Acacia holosericea","10.31","1","1","0","0","2"
"aranya","plot7","Acacia holosericea","10.00","4","1","1","0","1"
"aranya","plot7","Acacia mangium","9.00","1","1","0","0","2"
"aranya","plot7","Hardwickia binata","60.00","4","1","1","1","1"
"aranya","plot7","Hardwickia binata","60.00","4","1","1","1","1"
"aranya","plot7","Hardwickia binata","60.00","4","1","0","0","1"
"aranya","plot8","Tectona grandis","21.21","2","1","0","0","1"
"aranya","plot8","Tectona grandis","21.21","1","1","0","0","2"
"aranya","plot8","Acacia auriculiformis","34.00","4","1","1","0","2"
"aranya","plot8","Acacia auriculiformis","34.00","3","1","1","0","2"
"aranya","plot8","Acacia auriculiformis","34.00","4","1","1","0","2"
"aranya","plot8","Albizia lebbeck","25.00","3","1","1","1","2"
"aranya","plot8","Acacia holosericea","7.83","3","1","0","1","1"
"aranya","plot8","Acacia holosericea","7.62","2","1","1","1","2"
"aranya","plot8","Acacia holosericea","7.62","2","1","0","1","2"
"aranya","plot8","Acacia holosericea","7.62","3","1","0","1","2"
"aranya","plot9","Bridelia retusa","23.02","3","0","0","0","1"
"aranya","plot9","Bridelia retusa","23.02","3","0","0","0","1"
"aranya","plot9","Bridelia retusa","23.02","4","0","0","0","1"
"aranya","plot9","Bridelia retusa","23.02","3","1","0","0","1"
"aranya","plot9","Bridelia retusa","29.97","1","0","0","0","2"
"aranya","plot9","Bridelia retusa","29.97","1","0","0","0","2"
"aranya","plot9","Bridelia retusa","29.97","1","0","0","0","1"
"aranya","plot9","Bridelia retusa","38.83","1","0","0","0","1"
"aranya","plot9","Bridelia retusa","38.83","1","0","0","0","2"
"aranya","plot9","Bridelia retusa","38.83","1","0","0","0","2"
"aranya","plot9","Acacia auriculiformis","25.50","4","0","0","0","2"
"aranya","plot9","Acacia auriculiformis","25.50","4","0","0","0","2"
"aranya","plot9","Acacia auriculiformis","25.50","1","0","0","0","2"
"aranya","plot9","Dodonaea angustifolia","24.42","3","1","1","0","1"
"aranya","plot9","Dodonaea angustifolia","24.42","3","1","1","0","1"
"aranya","plot9","Acacia auriculiformis","11.00","1","1","0","0","2"
"aranya","plot9","Albizia lebbeck","45.65","1","0","0","0","2"
"aranya","plot9","Acacia auriculiformis","20.30","4","1","1","0","2"
"aranya","plot9","Acacia auriculiformis","20.30","1","1","0","0","2"
"aranya","plot9","Acacia auriculiformis","10.06","2","0","0","0","2"
"aranya","plot9","Acacia holosericea","9.49","3","1","1","0","1"
"aranya","plot9","Acacia holosericea","9.49","1","1","0","0","2"
"aranya","plot9","Acacia auriculiformis","18.22","4","1","1","0","2"
"aranya","plot9","Albizia lebbeck","30.37","1","1","1","0","1"
"aranya","plot9","Albizia lebbeck","30.37","1","0","0","0","2"
"aranya","plot10","Barringtonia acutangala","62.95","2","1","0","0","1"
"aranya","plot10","Khaya senegalensis","22.00","1","0","0","0","1"
"aranya","plot10","Khaya senegalensis","22.00","1","0","0","0","1"
"aranya","plot10","Acacia auriculiformis","58.00","4","1","1","0","2"
"aranya","plot10","Acacia auriculiformis","58.00","4","1","1","0","2"
"aranya","plot10","Acacia auriculiformis","58.00","3","1","1","0","2"
"aranya","plot10","Acacia auriculiformis","58.00","3","1","1","0","2"
"aranya","plot10","Acacia auriculiformis","58.00","3","1","1","0","1"
"aranya","plot10","Acacia auriculiformis","58.00","2","1","0","0","2"
"aranya","plot10","Acacia auriculiformis","58.00","3","1","0","0","2"
"aranya","plot10","Acacia auriculiformis","58.00","3","1","0","0","2"
"aranya","plot10","Acacia auriculiformis","58.00","3","1","1","0","1"
"aranya","plot10","Acacia auriculiformis","58.00","3","1","1","0","2"
"aranya","plot10","Bridelia retusa","29.83","2","1","0","1","1"
"aranya","plot10","Bridelia retusa","42.00","4","0","0","0","1"
"aranya","plot10","Bridelia retusa","42.00","4","0","0","0","1"
"aranya","plot10","Bridelia retusa","42.00","4","0","0","0","1"
"aranya","plot10","Bridelia retusa","42.00","3","0","0","0","1"
"aranya","plot10","Bridelia retusa","42.00","1","0","0","0","2"
"aranya","plot10","Bridelia retusa","30.00","3","0","0","0","1"
"aranya","plot10","Bridelia retusa","30.00","1","0","0","0","1"
"aranya","plot10","Khaya senegalensis","47.00","2","0","0","0","1"
"aranya","plot10","Ziziphus oenoplia","18.41","4","1","1","0","1"
"aranya","plot10","Ziziphus oenoplia","18.41","3","1","1","0","1"
"aranya","plot11","Bridelia retusa","56.64","1","0","0","0","2"
"aranya","plot11","Bridelia retusa","56.64","1","0","0","0","2"
"aranya","plot11","Bridelia retusa","56.64","1","0","0","0","1"
"aranya","plot11","Bridelia retusa","56.64","1","0","0","0","1"
"aranya","plot11","Bridelia retusa","56.64","1","0","0","0","1"
"aranya","plot11","Acacia auriculiformis","23.77","3","1","1","0","2"
"aranya","plot11","Acacia auriculiformis","23.77","2","1","1","0","2"
"aranya","plot11","Acacia auriculiformis","23.77","2","1","1","0","1"
"aranya","plot11","Acacia holosericea","40.00","1","0","0","0","2"
"aranya","plot11","Acacia holosericea","40.00","1","0","0","0","2"
"aranya","plot11","Acacia holosericea","40.00","1","0","0","0","2"
"aranya","plot11","Bridelia retusa","34.00","2","0","0","0","1"
"aranya","plot11","Bridelia retusa","34.00","1","0","0","0","1"
"aranya","plot11","Bridelia retusa","55.90","1","0","0","0","2"
"aranya","plot11","Bridelia retusa","55.90","1","0","0","0","2"
"aranya","plot11","Albizia lebbeck","49.36","4","0","0","0","1"
"aranya","plot11","Albizia lebbeck","49.36","3","1","0","0","1"
"aranya","plot11","Albizia lebbeck","49.36","4","1","0","0","1"
"aranya","plot11","Albizia lebbeck","49.36","3","1","1","0","1"
"aranya","plot11","Albizia lebbeck","49.36","0","0","0","0","0"
"aranya","plot11","Albizia lebbeck","22.00","2","1","0","0","1"
"aranya","plot11","Albizia lebbeck","22.00","4","1","1","0","1"
"aranya","plot11","Albizia lebbeck","22.00","1","1","0","0","1"
"aranya","plot11","Bridelia retusa","15.00","2","0","0","0","1"
"aranya","plot11","Acacia holosericea","26.25","3","1","1","0","1"
"aranya","plot11","Acacia holosericea","26.25","3","1","1","0","2"
"aranya","plot11","Acacia holosericea","26.25","4","1","1","0","2"
"aranya","plot11","Acacia holosericea","26.25","4","1","1","0","2"
"aranya","plot11","Acacia holosericea","26.25","2","1","1","0","1"
"aranya","plot11","Acacia holosericea","26.25","1","1","1","0","2"
"aranya","plot11","Acacia holosericea","26.25","2","1","1","0","1"
"aranya","plot11","Acacia holosericea","26.25","2","1","1","0","1"
"aranya","plot11","Acacia holosericea","26.25","1","1","1","0","2"
"aranya","plot11","Acacia holosericea","26.25","1","1","1","0","2"
"aranya","plot11","Bridelia retusa","32.92","0","0","0","0","0"
"aranya","plot11","Acacia auriculiformis","35.00","3","1","1","0","2"
"aranya","plot11","Acacia auriculiformis","35.00","4","1","1","0","2"
"aranya","plot11","Acacia auriculiformis","35.00","4","1","1","0","2"
"aranya","plot11","Acacia auriculiformis","35.00","3","1","1","0","1"
"aranya","plot11","Acacia auriculiformis","35.00","2","1","1","0","2"
"aranya","plot11","Acacia auriculiformis","35.00","3","1","0","0","2"
"aranya","plot11","Acacia auriculiformis","35.00","3","1","1","0","2"
"aranya","plot11","Bridelia retusa","60.28","4","1","1","0","1"
"aranya","plot11","Bridelia retusa","60.28","2","1","1","0","1"
"aranya","plot11","Acacia auriculiformis","27.00","4","1","1","0","2"
"aranya","plot11","Acacia auriculiformis","27.00","2","1","0","0","2"
"aranya","plot11","Acacia holosericea","26.00","3","1","1","1","2"
"aranya","plot12","Acacia auriculiformis","39.00","4","1","1","0","1"
"aranya","plot12","Acacia auriculiformis","39.00","1","0","0","0","1"
"aranya","plot12","Hardwickia binata","58.00","4","1","1","0","1"
"aranya","plot12","Hardwickia binata","58.00","3","1","1","0","2"
"aranya","plot12","Hardwickia binata","34.00","2","0","0","0","1"
"aranya","plot12","Acacia auriculiformis","43.00","4","1","1","0","2"
"aranya","plot12","Acacia auriculiformis","43.00","3","1","1","0","2"
"aranya","plot12","Acacia auriculiformis","43.00","2","1","1","0","2"
"aranya","plot12","Acacia auriculiformis","7.81","2","1","1","0","1"
"aranya","plot13","Bridelia retusa","20.55","3","1","1","0","1"
"aranya","plot13","Acacia mangium","8.32","1","1","0","0","2"
"aranya","plot13","Acacia auriculiformis","30.15","2","1","1","0","1"
"aranya","plot13","Acacia auriculiformis","20.50","4","1","1","1","1"
"aranya","plot13","Pterocarpus santalinus","23.00","2","1","1","0","1"
"aranya","plot13","Pterocarpus santalinus","23.00","4","1","1","1","1"
"aranya","plot13","Acacia holosericea","11.00","3","1","1","0","1"
"aranya","plot13","Acacia holosericea","11.00","2","1","0","0","2"
"aranya","plot13","Acacia holosericea","11.00","1","1","0","0","2"
"aranya","plot13","Acacia holosericea","11.00","1","1","0","0","2"
"aranya","plot13","Acacia holosericea","11.00","1","1","0","0","2"
"aranya","plot13","Acacia holosericea","11.40","1","1","0","0","2"
"aranya","plot13","Memecylon umbellatum","15.23","3","1","1","0","2"
"aranya","plot13","Acacia holosericea","9.90","3","1","0","0","2"
"aranya","plot13","Acacia holosericea","9.90","1","1","0","0","2"
"aranya","plot13","Pterocarpus santalinus","24.17","3","1","0","0","1"
"aranya","plot13","Acacia holosericea","11.00","3","1","0","0","2"
"aranya","plot13","Pterocarpus santalinus","15.00","1","1","0","0","2"
"aranya","plot14","Cassia siamea","29.26","4","1","1","0","2"
"aranya","plot14","Acacia auriculiformis","9.01","2","1","0","0","1"
"aranya","plot14","Acacia holosericea","9.01","1","1","0","0","1"
"aranya","plot14","Acacia holosericea","6.00","1","1","0","0","2"
"aranya","plot14","Acacia holosericea","6.00","1","1","0","0","2"
"aranya","plot14","Acacia holosericea","11.00","3","1","1","0","2"
"aranya","plot14","Acacia holosericea","11.00","1","1","0","0","2"
"aranya","plot14","Acacia holosericea","8.50","2","1","0","0","1"
"aranya","plot14","Acacia holosericea","13.09","1","1","0","0","2"
"aranya","plot14","Acacia holosericea","8.50","3","1","1","0","2"
"aranya","plot14","Ficus benghalensis","160.00","2","1","1","0","1"
"aranya","plot14","Ficus benghalensis","160.00","4","0","0","0","1"
"aranya","plot14","Ficus benghalensis","160.00","2","0","0","0","2"
"aranya","plot14","Ficus benghalensis","160.00","4","1","1","0","1"
"aranya","plot14","Ficus benghalensis","160.00","3","1","0","0","1"
"aranya","plot14","Ficus benghalensis","160.00","3","1","1","0","1"
"aranya","plot14","Ficus benghalensis","160.00","3","1","1","0","1"
"aranya","plot14","Ficus benghalensis","160.00","3","1","1","0","1"
"aranya","plot14","Ficus benghalensis","160.00","2","1","1","0","1"
"aranya","plot14","Ficus benghalensis","160.00","2","1","1","0","2"
"aranya","plot14","Ficus benghalensis","160.00","3","1","1","0","1"
"aranya","plot14","Ficus benghalensis","160.00","3","1","1","0","1"
"aranya","plot14","Ficus benghalensis","160.00","2","1","1","0","2"
"aranya","plot14","Acacia holosericea","12.41","2","1","0","0","1"
"aranya","plot14","Acacia auriculiformis","35.00","4","1","1","0","2"
"aranya","plot14","Acacia auriculiformis","35.00","3","1","1","0","2"
"aranya","plot14","Acacia auriculiformis","35.00","3","1","1","0","2"
"aranya","plot14","Acacia auriculiformis","35.00","2","1","1","0","2"
"aranya","plot14","Hardwickia binata","53.00","4","1","1","0","1"
"aranya","plot14","Terminalia arjuna","17.89","1","1","0","0","1"
"aranya","plot14","Terminalia arjuna","17.89","2","1","0","0","1"
"aranya","plot15","Acacia holosericea","10.59","3","1","0","0","2"
"aranya","plot15","Hardwickia binata","58.00","3","1","0","0","1"
"aranya","plot15","Hardwickia binata","58.00","3","1","0","0","2"
"aranya","plot15","Hardwickia binata","58.00","3","1","0","0","1"
"aranya","plot15","Acacia auriculiformis","40.94","4","1","1","0","2"
"aranya","plot15","Acacia auriculiformis","40.94","4","1","1","0","1"
"aranya","plot15","Acacia holosericea","19.72","2","1","1","0","2"
"aranya","plot15","Acacia holosericea","19.72","1","1","1","0","2"
"aranya","plot15","Acacia holosericea","21.02","2","1","0","0","2"
"aranya","plot15","Acacia holosericea","21.02","3","1","1","1","2"
"aranya","plot15","Acacia holosericea","21.02","2","1","1","0","1"
"aranya","plot15","Acacia holosericea","21.02","2","1","1","0","2"
"aranya","plot15","Acacia holosericea","21.02","3","1","1","0","1"
"aranya","plot15","Acacia holosericea","21.02","2","1","0","0","2"
"aranya","plot15","Acacia holosericea","21.02","3","1","0","0","2"
"aranya","plot15","Acacia holosericea","21.02","1","1","0","0","2"
"aranya","plot15","Acacia holosericea","21.02","2","1","0","0","2"
"aranya","plot15","Acacia holosericea","21.02","3","1","1","0","1"
"aranya","plot15","Acacia holosericea","21.02","1","1","0","0","2"
"aranya","plot15","Acacia holosericea","21.02","2","1","1","0","1"
"aranya","plot15","Acacia holosericea","21.59","2","1","1","0","1"
